regin_d,dstnc_b,white,black,hispanic,bagrad,median_hh_income,own_occupied,rent_occupied,occupied,median_rent,median_rent_inc_pct,region_id,trt,buffer_500,buffer_1000,buffer_1500,buffer_2000,overlap_weights_full_sample,total_land_assessed_value,total_improvement_assessed_value,total_assessed_value,avg_lot_size,avg_year_built,avg_effective_year_built,avg_sqfeet,avg_bedrooms,property_count,no_of_buildings,total_nlcd_area_m2,water_m2,total_nlcd_area_acre,total_improvement_assessed_value_per_acre,total_assessed_value_per_acre,total_land_assessed_value_per_acre,property_count_per_acre,no_of_buildings_per_acre,avg_log_land_assessed_value,avg_log_improvement_assessed_value,avg_log_assessed_value,avg_log_improvement_assessed_value_per_acre,avg_log_assessed_value_per_acre,avg_log_land_assessed_value_per_acre,no_buildings,no_buildings_per_area,overlap_weights_zsample.x,avg_log_sales_price_amount,total_sales_price_amount,avg_sales_price_amount,sales_count,avg_log_sales_price_amount_per_acre,total_sales_price_amount_per_acre,sales_count_per_acre,overlap_weights_zsample.y,tot_BldgClaim_bldg_weighted,tot_BldgCoverage_bldg_weighted,tot_BldgClmCount_bldg_weighted,tot_policyCount_bldg_weighted,tot_area,tot_bldg,tot_claims_per_policy,tot_claims_per_1000_coverage,tot_claims_per_acre,tot_claims_per_bldg,tot_no_policies_per_bldg,tot_bldg_per_acre,tot_coverage_per_bldg,tot_coverage_per_acre,barrier,barrier_type
01117,0,0.6116905152238598,0.3429904924058758,0.01817058466456181,0.16736411070295434,47776.909370556874,0.5124308606891642,0.32110050600496337,0.8335313666941276,870.1118242651077,29.306476201431753,1117,0,1,0,0,0,0.00179666,0,0,985840,4.61875,1991.7142857142856,1997.571428571429,7307.888888888889,3,16,14,2425245.882352941,2059598.8235294092,90.35504470588296,0,10910.735567770822,0,0.17707921070795782,0.1549443093694631,NA,NA,9.544574248457362,NA,0.1056341046537706,NA,50,0.5533725334623683,0.00105940285876124,12.795764583892351,2043200,408640,5,0.14161649330753112,22613.015207406213,0.05533725334623682,0.00105940285876124,1551.8176239353518,23001.55579789167,0.0968688309146324,32.07434946732656,1654347.2918403563,50,48.38188925752506,67.46576786243268,3.79597789092584,31.03635247870703,0.6414869893465313,0.12230747455037214,460.0311159578334,56.265244007392,0,NA
01117,500,0.9165355742501643,0.04911968800461466,0.04320739942703739,0.27554512898541744,54090.03398104274,0.6974051180209733,0.2101130497163594,0.9075181677373327,842,18.1,1117,0,0,1,0,0,0.00179666,0,0,5308480,3.010441860465116,1992.768115942029,2001.220588235294,6015.152380952381,3.327272727272727,119,127,2837234.1176470597,1166417.6470588234,412.87545804705906,0,12857.339656635502,0,0.2882225079758471,0.30759881103304687,NA,NA,10.385479676040218,NA,0.02515402519966806,NA,338,0.8186488041666917,0.00105940285876124,12.154741638995535,35988477,374879.96875,155,0.02943924469739287,87165.4546148831,0.3754158717332462,0.00105940285876124,16014.010297435896,188320,0.8574358974358975,313.9569230769231,1896483.9851710428,308,51.00703032916486,85.03616343158399,34.17122932930047,51.99353992673992,1.019340659340659,0.6572206735192201,611.4285714285714,401.8434975231803,0,NA
01117,1000,0.9166568382351702,0.05281281260969538,0.036904853514976924,0.29497843112573735,53534.46119631186,0.7546802319692303,0.1649438344034093,0.9196240663726395,841.9999999999999,18.1,1117,0,0,0,1,0,0.00179666,0,0,2556720,2.765662921348315,1984.725806451613,1997.4166666666667,4783.53,2.953125,119,109,3216342.3529411852,1168242.3529411762,506.10599100000223,0,5051.748142613844,0,0.23512861360299425,0.21536990657753252,NA,NA,9.483242547404476,NA,0.01873766111455581,NA,291,0.5749783744409355,0.00105940285876124,11.570989829259034,17898960,180797.57575757577,160,0.02286277980309263,35366.030670045795,0.3161393124073872,0.00105940285876124,13414.3333010989,157748.57142857145,0.7182417582417584,262.98989010989015,2043041.740425961,258,51.00703032916486,85.03616343158399,26.570610469771403,51.99353992673993,1.0193406593406595,0.5110367654752878,611.4285714285716,312.4624794620332,0,NA
01117,1500,0.907480637922404,0.05243315159747651,0.05210419453824439,0.2660884549848846,66028.08587785343,0.6751648236267493,0.22388106354345025,0.8990458871701996,842,18.1,1117,0,0,0,0,1,0.00179666,0,0,2009440,2.057918032786885,1986.8103448275865,1998.6727272727271,4925.792207792208,2.981132075471698,100,88,3648765.882352947,1327619.9999999998,573.5783589882368,0,3503.3399857424024,0,0.17434409515797447,0.15342280373901754,NA,NA,9.343343812692163,NA,0.01628956822773674,NA,121,0.2109563551411491,0.00105940285876124,10.77748462730499,8653571,110943.21794871795,129,0.01878990805426468,15086.990058802883,0.22490388275378703,0.00105940285876124,2755.657616117216,32405.71428571429,0.14754578754578757,54.02505494505495,1641990.3370741126,53,51.00703032916487,85.03616343158399,6.7914786351614245,51.99353992673993,1.019340659340659,0.1306215857725935,611.4285714285716,79.86576958667146,0,NA
01208,0,0.9673612780963406,0.002429164854911809,0,0.463423781576257,96368.78975147201,0.1411422207419947,0.025443875892724146,0.16658609663471888,1372.2544465467743,22.494626652089984,1208,0,1,0,0,0,0.005827976,0,0,138429300,13.25,1996.987565445026,1993.5724962630793,5125.699649122807,2.613768115942029,2490,1207,4106410.5882352977,1857024.7058823523,555.8457453882363,0,249042.6546366971,0,4.479660086740132,2.1714657528896946,NA,NA,10.86940740524032,NA,0.01955471908424606,NA,495,0.8905348365206287,0.0054964676439394,12.533033605151996,431941983,434986.8912386707,1774,0.02254768289428602,777089.6630652549,3.19153292926787,0.0054964676439394,2060298.2226224693,66134007.54167299,55.57332255477696,1585.8790127775123,3312676.4152191975,476,1299.1522089784503,31.153385364167058,2516.869810222494,4328.357610551406,3.331678598272085,0.5814837951667907,138936.99063376678,80789.60860277557,0,NA
01208,500,0.9703713241325652,0.0016451406521232224,0,0.5127762835817101,101142.35659204627,0.15614547368232765,0.019877858592781947,0.17602333227510958,1348.6849699577679,21.475691178368038,1208,0,0,1,0,0,0.005827976,0,0,66658680,3.6225,1997.695749440716,1999.4803149606296,12410.19304347826,3.1499013806706113,839,447,4992275.294117661,2725895.29411765,560.0451618000027,0,119023.75834433944,0,1.4980934703612612,0.7981499180589794,NA,NA,11.135349235618904,NA,0.01988294872475916,NA,387,0.6910157008698546,0.0054964676439394,12.53953067406066,230257067,422490.03119266056,892,0.02239021337807511,411140.1770884809,1.592728695544988,0.0054964676439394,2466966.7156674243,67548305.21948999,52.09207037671831,3062.5184266675988,2726662.36951054,312,805.5353052526091,36.52151904701852,3661.3530211928737,7906.944601498155,9.815764188037177,0.4630553526957992,216500.97826759613,100251.9368506873,0,NA
01208,1000,0.9768880708577115,0.0010523545967246945,0.002491904916048615,0.32918487290969484,81424.63998428982,0.2623672222078512,0.09848614182838121,0.36085336403623236,1186.19472633128,24.7091106701648,1208,0,0,0,1,0,0.005827976,0,0,55070380,4.8135,1992.7392592592591,1991.0652985074628,5194.401459854014,2.766478342749529,1054,475,5562716.47058824,2994691.7647058815,634.5845850705896,0,86781.7802316678,0,1.6609290940824788,0.7485211761756901,NA,NA,10.76332493948916,NA,0.01696121398582645,NA,245,0.3860793435011454,0.0054964676439394,12.427133451828873,158152607,360256.50797266513,782,0.01958310010074781,249222.2640145088,1.232302231093452,0.0054964676439394,2068469.764578148,48848861.03023308,34.00840222152265,3346.4133207799423,1728790.0123963673,89,618.1154466884723,42.34427826880038,4841.908872365344,23241.23330986683,37.60014967168475,0.20833269938001783,548863.6070812705,114346.23685469458,0,NA
01208,1500,0.9760107832430361,0.0016248792751853611,0.0038715550992487013,0.37235210491657056,89021.08705907191,0.2765651260217466,0.12464415380165543,0.4012092798234021,1386.669969767993,24.97667406738955,1208,0,0,0,0,1,0.005827976,0,0,57911500,5.350833333333333,1993.0352673492605,1991.50621669627,5156.9435736677115,2.7815013404825737,1421,750,5987625.882352951,3315575.2941176477,660.2904208588258,0,87706.10351226319,0,2.1520833183551797,1.1358638203845073,NA,NA,10.484689772161971,NA,0.01587890637353902,NA,353,0.5346132381276414,0.0054964676439394,11.98051564094801,160856191,244834.38508371383,1220,0.01814431235480473,243614.30352234663,1.847671814492132,0.0054964676439394,1743926.3344209157,41769431.04892713,29.398719916880747,2762.880031104944,1300515.947414821,88,631.1987182894352,41.751259009923935,5426.5290603792055,19817.344709328583,31.39636398982891,0.2738272528420412,474652.6255559901,129972.8245102588,0,NA
01219,0,0.49673126614861074,0.4349485449162446,0.013913650267340245,0.1774937562001756,46658.05468822583,0.6350703328727777,0.22902416171142495,0.8640944945842027,1044.6911205723923,38.039139544344174,1219,0,1,0,0,0,5.69e-4,0,0,15089240,1.1214099216710185,1981.446261682243,1992.747524752475,3166.6573295985063,2.996023856858847,1247,1096,7948436.470588236,2948721.176470589,1235.4796463294117,0,12213.264738783731,0,1.0093246001298484,0.887104861060396,NA,NA,9.029392587389925,NA,0.00730841063567181,NA,1915,1.5500053001192138,2.636101818326736e-4,10.623785344498335,92111035,73336.81130573248,2040,0.00859891571347323,74554.87856369003,1.6511805808058466,2.636101818326736e-4,16598.56478097637,393224.040436767,1.755399023172007,391.446451538652,3678289.011285784,761,42.40315556759467,42.21146998677851,18.26141252708133,21.81151745200574,0.5143842989995426,0.837237141673609,516.7201582611918,432.6173083477351,0,NA
01219,500,0.43140345868543717,0.5287640863532049,0.021274851688221918,0.18722013176711005,47958.008482579826,0.5871412441353452,0.28660077132392414,0.8737420154592694,1054.0991733932021,31.820586485051788,1219,0,0,1,0,0,5.69e-4,0,0,17972280,1.0175804416403786,1980.2816593886464,1994.024886877828,3873.035233160622,2.955357142857143,1146,1003,7695688.235294153,2994705.8823529463,1161.6597492353014,0,15471.208339473596,0,0.9865195043164662,0.8634197755928583,NA,NA,9.080438260901952,NA,0.00781677962663287,NA,1302,1.120810117469493,2.636101818326736e-4,10.642313004233252,106890733,97795.73010064045,1782,0.00916129960708278,92015.52612145178,1.534012004094191,2.636101818326736e-4,56342.3055495985,604859.4951243026,3.4912562412695167,328.036718590625,2236370.9920957643,350,171.75609423136302,93.14941073714944,101.9531018495718,160.97801585599572,0.9372477674017856,0.633335560184658,1728.169986069436,1094.511506221599,0,NA
